id,observed_on,latitude,longitude,place_state_name,place_country_name
5840854,2017-04-18,35.8948523,-78.5790375,North Carolina,United States
5885112,2017-04-14,35.7650783,-78.6817104,North Carolina,United States
5885209,2017-04-14,35.7650783,-78.6817104,North Carolina,United States
5885660,2017-04-14,35.7650783,-78.6817104,North Carolina,United States
5914969,2017-04-17,35.9687783333,-78.6436616667,North Carolina,United States
5923327,2017-04-22,36.2123273453,-84.0743941908,Tennessee,United States
5955806,2017-04-19,40.1818824,-74.1798753,New Jersey,United States
6015054,2017-04-29,40.33029,-80.1202816667,Pennsylvania,United States
6015561,2017-04-29,40.32999,-80.099315,Pennsylvania,United States
6024983,2017-04-30,36.0105776,-78.9026996,North Carolina,United States
6041348,2017-05-01,35.9695587158,-78.9633789063,North Carolina,United States
6053616,2017-05-02,39.09084588,-77.10678268,Maryland,United States
6079007,2017-05-03,40.4428993993,-74.4907791614,New Jersey,United States
6099095,2017-05-03,40.6374693192,-74.5603466034,New Jersey,United States
6139936,2017-05-04,40.6561433756,-74.5267224312,New Jersey,United States
6148942,2017-05-07,37.2101821899,-88.5324554443,Illinois,United States
6181821,2017-05-10,40.62632,-74.7992866667,New Jersey,United States
6184825,2017-05-08,40.5847891388,-74.500951767,New Jersey,United States
6186283,2017-05-12,35.9682479167,-78.9668548333,North Carolina,United States
6186527,2017-05-12,40.2915580359,-74.7272091334,New Jersey,United States
6191877,2017-05-12,38.9605333333,-77.0516055,District of Columbia,United States
6196763,2017-05-13,36.8614593036,-76.5718820012,Virginia,United States
6227631,2017-05-14,40.6284641801,-74.8040091991,New Jersey,United States
6236692,2017-05-16,35.7750758323,-78.6792600384,North Carolina,United States
6238789,2017-05-15,40.6545317843,-74.5008659363,New Jersey,United States
6283627,2017-05-20,36.8260752,-76.5807902,Virginia,United States
6295925,2017-05-17,40.6584386051,-74.4004011154,New Jersey,United States
6310455,2017-05-21,35.1334205697,-88.9786202929,Tennessee,United States
6317122,2017-05-18,40.5756139171,-74.6171236038,New Jersey,United States
6319620,2017-04-29,39.623945,-76.1538305,Maryland,United States
6322109,2017-05-19,40.5823121159,-74.5464849472,New Jersey,United States
6326460,2017-05-20,40.6922881353,-74.876332283,New Jersey,United States
6369469,2017-05-26,35.8092041016,-78.7178573608,North Carolina,United States
6372490,2017-05-24,40.6631264882,-74.6497821808,New Jersey,United States
6387949,2017-05-27,37.582340785,-89.4399261492,Illinois,United States
6433828,2017-05-30,40.9443037911,-73.722660374,New York,United States
6436173,2017-05-25,40.6782703307,-74.3344295025,New Jersey,United States
6443636,2017-05-26,40.6074040252,-74.5853233337,New Jersey,United States
6473162,2017-05-30,40.5940771576,-74.5697879791,New Jersey,United States
6473656,2017-06-02,39.985439214,-75.4881140684,Pennsylvania,United States
6478668,2017-06-03,40.8553730976,-73.5689466634,New York,United States
